"Date","September-27-2024"
"Time","23h36m15s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","192grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.262297e-01,-2.509205e-01,2.813138e-01,-7.578953e+00,8.169315e+00,9.631149e-01,1.317317e+02,1.000614e+02,-1.919142e+01,1.204642e-05,
2.999998e-02,9.263238e-01,-2.503183e-01,2.815403e-01,-7.560866e+00,8.176078e+00,9.631619e-01,1.316404e+02,1.000627e+02,-1.917845e+01,1.208244e-05,
5.999997e-02,9.262179e-01,-2.506148e-01,2.816250e-01,-7.570238e+00,8.178608e+00,9.631089e-01,1.316655e+02,1.000690e+02,-1.917510e+01,1.209176e-05,
8.999995e-02,9.262709e-01,-2.503069e-01,2.817247e-01,-7.560948e+00,8.181582e+00,9.631354e-01,1.316205e+02,1.000633e+02,-1.918466e+01,1.206518e-05,
1.199999e-01,9.257747e-01,-2.517778e-01,2.820444e-01,-7.607216e+00,8.191129e+00,9.628874e-01,1.317549e+02,9.997032e+01,-1.919036e+01,1.204935e-05,
1.499999e-01,9.264684e-01,-2.500503e-01,2.813026e-01,-7.552014e+00,8.168982e+00,9.632342e-01,1.316339e+02,1.000295e+02,-1.918207e+01,1.207237e-05,
1.799999e-01,9.264441e-01,-2.497849e-01,2.816183e-01,-7.544556e+00,8.178407e+00,9.632220e-01,1.315718e+02,1.000829e+02,-1.918225e+01,1.207188e-05,
2.099999e-01,9.260816e-01,-2.507974e-01,2.819104e-01,-7.576562e+00,8.187127e+00,9.630408e-01,1.316574e+02,1.000922e+02,-1.917786e+01,1.208408e-05,
2.399999e-01,9.262628e-01,-2.506637e-01,2.814337e-01,-7.571296e+00,8.172896e+00,9.631314e-01,1.316904e+02,1.000558e+02,-1.918494e+01,1.206440e-05,
2.699999e-01,9.261927e-01,-2.511646e-01,2.812177e-01,-7.586275e+00,8.166447e+00,9.630964e-01,1.317691e+02,1.000625e+02,-1.918449e+01,1.206567e-05,
