"Date","September-27-2024"
"Time","23h06m13s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","6grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,8.004008e-01,-3.944622e-01,4.513957e-01,-1.311775e+01,1.341663e+01,9.002004e-01,1.311493e+02,1.000674e+02,-1.924583e+01,1.189643e-05,
2.999998e-02,8.003237e-01,-3.944356e-01,4.515557e-01,-1.311808e+01,1.342177e+01,9.001618e-01,1.311373e+02,1.000594e+02,-1.924745e+01,1.189199e-05,
5.999997e-02,8.002279e-01,-3.945732e-01,4.516052e-01,-1.312340e+01,1.342336e+01,9.001140e-01,1.311441e+02,1.000716e+02,-1.924450e+01,1.190008e-05,
8.999995e-02,8.004623e-01,-3.942870e-01,4.514397e-01,-1.311183e+01,1.341805e+01,9.002312e-01,1.311339e+02,1.000545e+02,-1.924727e+01,1.189249e-05,
1.199999e-01,8.004880e-01,-3.940072e-01,4.516385e-01,-1.310341e+01,1.342443e+01,9.002440e-01,1.311013e+02,1.000436e+02,-1.925172e+01,1.188032e-05,
1.499999e-01,8.004829e-01,-3.942482e-01,4.514370e-01,-1.311042e+01,1.341796e+01,9.002415e-01,1.311313e+02,1.000580e+02,-1.924579e+01,1.189655e-05,
1.799999e-01,8.007377e-01,-3.935718e-01,4.515754e-01,-1.308732e+01,1.342240e+01,9.003689e-01,1.310739e+02,1.000356e+02,-1.924596e+01,1.189609e-05,
2.099999e-01,8.006502e-01,-3.937084e-01,4.516115e-01,-1.309250e+01,1.342356e+01,9.003251e-01,1.310815e+02,1.000453e+02,-1.924612e+01,1.189565e-05,
2.399999e-01,8.008134e-01,-3.933876e-01,4.516017e-01,-1.308094e+01,1.342325e+01,9.004067e-01,1.310589e+02,1.000268e+02,-1.924574e+01,1.189669e-05,
2.699999e-01,8.006049e-01,-3.940346e-01,4.514073e-01,-1.310254e+01,1.341701e+01,9.003024e-01,1.311178e+02,1.000423e+02,-1.924691e+01,1.189349e-05,
2.999998e-01,8.008660e-01,-3.933400e-01,4.515499e-01,-1.307883e+01,1.342158e+01,9.004330e-01,1.310588e+02,1.000372e+02,-1.924491e+01,1.189896e-05,
3.299998e-01,8.005427e-01,-3.939182e-01,4.516191e-01,-1.310007e+01,1.342381e+01,9.002714e-01,1.310961e+02,1.000472e+02,-1.924656e+01,1.189444e-05,
3.599998e-01,8.005385e-01,-3.940574e-01,4.515052e-01,-1.310414e+01,1.342015e+01,9.002692e-01,1.311133e+02,1.000546e+02,-1.924714e+01,1.189286e-05,
3.899998e-01,8.005324e-01,-3.940594e-01,4.515141e-01,-1.310428e+01,1.342043e+01,9.002662e-01,1.311129e+02,1.000394e+02,-1.924938e+01,1.188673e-05,
4.199998e-01,8.004674e-01,-3.941595e-01,4.515421e-01,-1.310809e+01,1.342133e+01,9.002337e-01,1.311183e+02,1.000568e+02,-1.924698e+01,1.189329e-05,
4.499998e-01,8.006817e-01,-3.936333e-01,4.516212e-01,-1.308989e+01,1.342387e+01,9.003408e-01,1.310754e+02,1.000424e+02,-1.924753e+01,1.189177e-05,
4.799997e-01,8.004758e-01,-3.940628e-01,4.516115e-01,-1.310518e+01,1.342356e+01,9.002379e-01,1.311070e+02,1.000530e+02,-1.924759e+01,1.189163e-05,
5.099997e-01,8.005424e-01,-3.941488e-01,4.514184e-01,-1.310671e+01,1.341736e+01,9.002712e-01,1.311253e+02,1.000571e+02,-1.924850e+01,1.188914e-05,
5.399997e-01,8.004662e-01,-3.940740e-01,4.516188e-01,-1.310564e+01,1.342380e+01,9.002331e-01,1.311073e+02,1.000474e+02,-1.924889e+01,1.188807e-05,
5.699997e-01,8.003279e-01,-3.942866e-01,4.516784e-01,-1.311373e+01,1.342571e+01,9.001639e-01,1.311189e+02,1.000640e+02,-1.924574e+01,1.189669e-05,
