"Date","September-27-2024"
"Time","23h20m24s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","66grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.979624e-04,-6.735110e-02,-9.977288e-01,-4.457555e+01,-4.306886e+01,5.004990e-01,-9.386186e+01,9.998164e+01,-1.924002e+01,1.191235e-05,
2.999998e-02,1.261855e-03,-6.816412e-02,-9.976733e-01,-4.446973e+01,-4.304539e+01,5.006309e-01,-9.390855e+01,9.998159e+01,-1.924036e+01,1.191142e-05,
5.999997e-02,1.789997e-03,-6.758004e-02,-9.977123e-01,-4.424138e+01,-4.306182e+01,5.008950e-01,-9.387501e+01,9.994597e+01,-1.923658e+01,1.192181e-05,
8.999995e-02,9.094317e-04,-6.726453e-02,-9.977348e-01,-4.461270e+01,-4.307138e+01,5.004547e-01,-9.385689e+01,9.997634e+01,-1.924385e+01,1.190186e-05,
1.199999e-01,1.940430e-03,-6.817596e-02,-9.976714e-01,-4.418484e+01,-4.304459e+01,5.009702e-01,-9.390923e+01,9.994731e+01,-1.923798e+01,1.191797e-05,
1.499999e-01,1.114667e-03,-6.792992e-02,-9.976895e-01,-4.452996e+01,-4.305219e+01,5.005573e-01,-9.389510e+01,9.999313e+01,-1.923727e+01,1.191990e-05,
1.799999e-01,1.343960e-04,-6.754303e-02,-9.977164e-01,-4.494300e+01,-4.306356e+01,5.000672e-01,-9.387288e+01,1.000033e+02,-1.924368e+01,1.190233e-05,
2.099999e-01,1.902364e-03,-6.824348e-02,-9.976669e-01,-4.420161e+01,-4.304269e+01,5.009512e-01,-9.391311e+01,9.996075e+01,-1.923757e+01,1.191908e-05,
2.399999e-01,9.929190e-04,-6.749242e-02,-9.977193e-01,-4.457858e+01,-4.306480e+01,5.004965e-01,-9.386997e+01,9.997932e+01,-1.923892e+01,1.191538e-05,
2.699999e-01,9.470368e-04,-6.754290e-02,-9.977159e-01,-4.459835e+01,-4.306337e+01,5.004735e-01,-9.387287e+01,9.996588e+01,-1.924552e+01,1.189729e-05,
2.999998e-01,1.279107e-03,-6.793459e-02,-9.976890e-01,-4.446067e+01,-4.305197e+01,5.006396e-01,-9.389537e+01,9.998776e+01,-1.923735e+01,1.191970e-05,
3.299998e-01,7.498862e-04,-6.809913e-02,-9.976783e-01,-4.468455e+01,-4.304747e+01,5.003749e-01,-9.390482e+01,9.999434e+01,-1.924144e+01,1.190846e-05,
3.599998e-01,1.380794e-03,-6.735045e-02,-9.977284e-01,-4.441275e+01,-4.306868e+01,5.006904e-01,-9.386182e+01,9.995027e+01,-1.923868e+01,1.191603e-05,
3.899998e-01,9.515650e-04,-6.783235e-02,-9.976963e-01,-4.459815e+01,-4.305506e+01,5.004758e-01,-9.388950e+01,9.998435e+01,-1.924123e+01,1.190905e-05,
4.199998e-01,1.253925e-03,-6.818021e-02,-9.976722e-01,-4.447319e+01,-4.304493e+01,5.006270e-01,-9.390947e+01,9.997702e+01,-1.924082e+01,1.191017e-05,
4.499998e-01,1.066824e-03,-6.716216e-02,-9.977415e-01,-4.454499e+01,-4.307425e+01,5.005334e-01,-9.385101e+01,9.997263e+01,-1.923940e+01,1.191407e-05,
4.799997e-01,1.096470e-03,-6.857713e-02,-9.976452e-01,-4.454199e+01,-4.303362e+01,5.005482e-01,-9.393227e+01,9.998996e+01,-1.923921e+01,1.191459e-05,
5.099997e-01,1.044681e-03,-6.711082e-02,-9.977450e-01,-4.455409e+01,-4.307574e+01,5.005223e-01,-9.384806e+01,9.996066e+01,-1.924108e+01,1.190945e-05,
5.399997e-01,1.032734e-03,-6.800814e-02,-9.976842e-01,-4.456500e+01,-4.304998e+01,5.005164e-01,-9.389959e+01,9.999000e+01,-1.923856e+01,1.191637e-05,
5.699997e-01,1.478281e-03,-6.801732e-02,-9.976830e-01,-4.437747e+01,-4.304948e+01,5.007391e-01,-9.390012e+01,9.996281e+01,-1.924045e+01,1.191119e-05,
5.999997e-01,9.627115e-04,-6.724598e-02,-9.977360e-01,-4.458990e+01,-4.307189e+01,5.004814e-01,-9.385582e+01,9.997881e+01,-1.924062e+01,1.191072e-05,
6.299997e-01,9.597764e-04,-6.789109e-02,-9.976923e-01,-4.459503e+01,-4.305337e+01,5.004799e-01,-9.389287e+01,9.996904e+01,-1.924047e+01,1.191113e-05,
6.599996e-01,1.337579e-03,-6.800150e-02,-9.976843e-01,-4.443657e+01,-4.305002e+01,5.006688e-01,-9.389921e+01,9.996867e+01,-1.924385e+01,1.190186e-05,
6.899996e-01,7.387942e-04,-6.786915e-02,-9.976940e-01,-4.468816e+01,-4.305408e+01,5.003694e-01,-9.389161e+01,9.999338e+01,-1.924380e+01,1.190201e-05,
7.199996e-01,1.486808e-03,-6.798711e-02,-9.976851e-01,-4.437360e+01,-4.305034e+01,5.007434e-01,-9.389839e+01,9.996377e+01,-1.923526e+01,1.192543e-05,
7.499996e-01,8.565533e-04,-6.723732e-02,-9.977366e-01,-4.463507e+01,-4.307218e+01,5.004283e-01,-9.385532e+01,9.998005e+01,-1.924233e+01,1.190603e-05,
7.799996e-01,9.028787e-04,-6.825910e-02,-9.976672e-01,-4.462109e+01,-4.304283e+01,5.004514e-01,-9.391400e+01,9.998510e+01,-1.924162e+01,1.190797e-05,
8.099996e-01,1.469305e-03,-6.783095e-02,-9.976957e-01,-4.437955e+01,-4.305484e+01,5.007347e-01,-9.388942e+01,9.996078e+01,-1.923752e+01,1.191921e-05,
8.399996e-01,1.188617e-03,-6.796254e-02,-9.976872e-01,-4.449902e+01,-4.305122e+01,5.005943e-01,-9.389697e+01,9.999043e+01,-1.923929e+01,1.191438e-05,
8.699995e-01,1.084963e-03,-6.791233e-02,-9.976907e-01,-4.454236e+01,-4.305271e+01,5.005425e-01,-9.389409e+01,9.997344e+01,-1.924221e+01,1.190636e-05,
8.999995e-01,1.185277e-03,-6.735046e-02,-9.977287e-01,-4.449589e+01,-4.306879e+01,5.005926e-01,-9.386182e+01,9.997047e+01,-1.924141e+01,1.190855e-05,
9.299995e-01,7.961407e-04,-6.806287e-02,-9.976807e-01,-4.466492e+01,-4.304850e+01,5.003981e-01,-9.390273e+01,9.999176e+01,-1.924330e+01,1.190336e-05,
9.599995e-01,1.493649e-03,-6.789088e-02,-9.976916e-01,-4.436983e+01,-4.305310e+01,5.007468e-01,-9.389286e+01,9.995973e+01,-1.924145e+01,1.190844e-05,
9.899995e-01,7.864634e-04,-6.734673e-02,-9.977293e-01,-4.466547e+01,-4.306907e+01,5.003932e-01,-9.386161e+01,9.998431e+01,-1.924157e+01,1.190812e-05,
1.019999e+00,1.237292e-03,-6.825359e-02,-9.976672e-01,-4.448073e+01,-4.304284e+01,5.006186e-01,-9.391369e+01,9.997986e+01,-1.924154e+01,1.190821e-05,
1.049999e+00,1.008057e-03,-6.719403e-02,-9.977394e-01,-4.457025e+01,-4.307336e+01,5.005040e-01,-9.385284e+01,9.997462e+01,-1.924374e+01,1.190216e-05,
1.079999e+00,9.393113e-04,-6.815857e-02,-9.976741e-01,-4.460522e+01,-4.304570e+01,5.004697e-01,-9.390823e+01,9.998817e+01,-1.924129e+01,1.190888e-05,
1.109999e+00,1.414663e-03,-6.757632e-02,-9.977131e-01,-4.440036e+01,-4.306218e+01,5.007073e-01,-9.387479e+01,9.996199e+01,-1.924154e+01,1.190820e-05,
1.139999e+00,7.036618e-04,-6.767873e-02,-9.977069e-01,-4.470216e+01,-4.305956e+01,5.003518e-01,-9.388067e+01,9.999435e+01,-1.924497e+01,1.189879e-05,
1.169999e+00,1.657008e-03,-6.768749e-02,-9.977052e-01,-4.429883e+01,-4.305883e+01,5.008285e-01,-9.388118e+01,9.994876e+01,-1.923897e+01,1.191526e-05,
1.199999e+00,1.236656e-03,-6.772783e-02,-9.977031e-01,-4.447697e+01,-4.305793e+01,5.006183e-01,-9.388349e+01,9.998080e+01,-1.923995e+01,1.191257e-05,
1.229999e+00,8.163907e-04,-6.813172e-02,-9.976760e-01,-4.465674e+01,-4.304652e+01,5.004082e-01,-9.390669e+01,9.998516e+01,-1.924276e+01,1.190485e-05,
1.259999e+00,1.304596e-03,-6.748459e-02,-9.977195e-01,-4.444625e+01,-4.306488e+01,5.006523e-01,-9.386953e+01,9.996851e+01,-1.923945e+01,1.191392e-05,
1.289999e+00,1.104472e-03,-6.819037e-02,-9.976717e-01,-4.453603e+01,-4.304472e+01,5.005522e-01,-9.391006e+01,9.999163e+01,-1.924200e+01,1.190694e-05,
1.319999e+00,1.583429e-03,-6.795343e-02,-9.976872e-01,-4.433258e+01,-4.305125e+01,5.007917e-01,-9.389645e+01,9.995763e+01,-1.924239e+01,1.190588e-05,
1.349999e+00,8.009569e-04,-6.721422e-02,-9.977382e-01,-4.465863e+01,-4.307286e+01,5.004005e-01,-9.385400e+01,9.998031e+01,-1.924196e+01,1.190704e-05,
1.379999e+00,1.400888e-03,-6.812433e-02,-9.976759e-01,-4.441098e+01,-4.304646e+01,5.007004e-01,-9.390627e+01,9.997291e+01,-1.924081e+01,1.191020e-05,
1.409999e+00,1.279526e-03,-6.746620e-02,-9.977207e-01,-4.445675e+01,-4.306542e+01,5.006398e-01,-9.386847e+01,9.997074e+01,-1.924097e+01,1.190976e-05,
1.439999e+00,8.632629e-04,-6.814801e-02,-9.976748e-01,-4.463712e+01,-4.304603e+01,5.004316e-01,-9.390762e+01,9.999793e+01,-1.923954e+01,1.191367e-05,
1.469999e+00,1.505366e-03,-6.799733e-02,-9.976844e-01,-4.436588e+01,-4.305004e+01,5.007527e-01,-9.389897e+01,9.996698e+01,-1.924003e+01,1.191233e-05,
1.499999e+00,9.374325e-04,-6.738598e-02,-9.977265e-01,-4.460149e+01,-4.306788e+01,5.004687e-01,-9.386386e+01,9.998010e+01,-1.924346e+01,1.190292e-05,
1.529999e+00,1.169392e-03,-6.810133e-02,-9.976777e-01,-4.450813e+01,-4.304724e+01,5.005847e-01,-9.390494e+01,9.997580e+01,-1.924187e+01,1.190729e-05,
1.559999e+00,1.773745e-03,-6.778487e-02,-9.976984e-01,-4.425053e+01,-4.305595e+01,5.008869e-01,-9.388677e+01,9.995667e+01,-1.923909e+01,1.191492e-05,
1.589999e+00,9.136898e-04,-6.786223e-02,-9.976943e-01,-4.461431e+01,-4.305422e+01,5.004568e-01,-9.389121e+01,9.998920e+01,-1.924332e+01,1.190331e-05,
1.619999e+00,1.367387e-03,-6.783282e-02,-9.976958e-01,-4.442259e+01,-4.305484e+01,5.006837e-01,-9.388952e+01,9.996723e+01,-1.923976e+01,1.191307e-05,
1.649999e+00,1.050530e-03,-6.744331e-02,-9.977226e-01,-4.455380e+01,-4.306619e+01,5.005253e-01,-9.386715e+01,9.998270e+01,-1.924195e+01,1.190708e-05,
1.679999e+00,8.946104e-04,-6.805128e-02,-9.976814e-01,-4.462341e+01,-4.304880e+01,5.004473e-01,-9.390207e+01,9.998928e+01,-1.924235e+01,1.190597e-05,
1.709999e+00,1.698380e-03,-6.762440e-02,-9.977094e-01,-4.428066e+01,-4.306061e+01,5.008492e-01,-9.387756e+01,9.995408e+01,-1.923824e+01,1.191726e-05,
1.739999e+00,1.059534e-03,-6.773814e-02,-9.977026e-01,-4.455194e+01,-4.305772e+01,5.005298e-01,-9.388409e+01,9.998463e+01,-1.924282e+01,1.190468e-05,
1.769999e+00,1.483937e-03,-6.805148e-02,-9.976807e-01,-4.437540e+01,-4.304850e+01,5.007420e-01,-9.390208e+01,9.996626e+01,-1.923917e+01,1.191470e-05,
1.799999e+00,1.526249e-03,-6.753362e-02,-9.977158e-01,-4.435267e+01,-4.306334e+01,5.007631e-01,-9.387234e+01,9.996553e+01,-1.923857e+01,1.191634e-05,
1.829999e+00,7.414941e-04,-6.804808e-02,-9.976818e-01,-4.468785e+01,-4.304894e+01,5.003707e-01,-9.390188e+01,9.999530e+01,-1.924344e+01,1.190299e-05,
1.859999e+00,1.558254e-03,-6.784199e-02,-9.976949e-01,-4.434211e+01,-4.305446e+01,5.007791e-01,-9.389005e+01,9.995900e+01,-1.923929e+01,1.191437e-05,
1.889999e+00,1.071187e-03,-6.762342e-02,-9.977103e-01,-4.454624e+01,-4.306101e+01,5.005356e-01,-9.387750e+01,9.998934e+01,-1.924127e+01,1.190895e-05,
1.919999e+00,1.011103e-03,-6.798614e-02,-9.976858e-01,-4.457397e+01,-4.305062e+01,5.005056e-01,-9.389833e+01,9.998354e+01,-1.924020e+01,1.191187e-05,
1.949999e+00,1.390290e-03,-6.741723e-02,-9.977239e-01,-4.440930e+01,-4.306676e+01,5.006951e-01,-9.386566e+01,9.996005e+01,-1.923768e+01,1.191878e-05,
