"Date","September-27-2024"
"Time","23h23m21s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","96grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,8.015822e-01,-3.962668e-01,-4.477038e-01,-1.315288e+01,-1.329823e+01,9.007911e-01,-1.315123e+02,9.997514e+01,-1.917032e+01,1.210508e-05,
2.999998e-02,8.012641e-01,-3.966926e-01,-4.478960e-01,-1.316963e+01,-1.330439e+01,9.006320e-01,-1.315307e+02,1.000154e+02,-1.915140e+01,1.215793e-05,
5.999997e-02,8.013220e-01,-3.963700e-01,-4.480780e-01,-1.315954e+01,-1.331022e+01,9.006610e-01,-1.314960e+02,1.000188e+02,-1.915590e+01,1.214534e-05,
8.999995e-02,8.015539e-01,-3.963225e-01,-4.477050e-01,-1.315488e+01,-1.329827e+01,9.007770e-01,-1.315163e+02,9.998232e+01,-1.916500e+01,1.211992e-05,
1.199999e-01,8.015820e-01,-3.962123e-01,-4.477523e-01,-1.315131e+01,-1.329978e+01,9.007910e-01,-1.315053e+02,9.999168e+01,-1.915707e+01,1.214207e-05,
1.499999e-01,8.013447e-01,-3.964100e-01,-4.480021e-01,-1.316037e+01,-1.330779e+01,9.006723e-01,-1.315037e+02,1.000012e+02,-1.916007e+01,1.213369e-05,
1.799999e-01,8.014478e-01,-3.964320e-01,-4.477981e-01,-1.315953e+01,-1.330125e+01,9.007239e-01,-1.315182e+02,1.000078e+02,-1.915553e+01,1.214638e-05,
2.099999e-01,8.016197e-01,-3.960314e-01,-4.478448e-01,-1.314558e+01,-1.330275e+01,9.008099e-01,-1.314865e+02,9.998396e+01,-1.915158e+01,1.215744e-05,
2.399999e-01,8.013729e-01,-3.964813e-01,-4.478885e-01,-1.316201e+01,-1.330415e+01,9.006864e-01,-1.315160e+02,1.000001e+02,-1.915933e+01,1.213576e-05,
2.699999e-01,8.015351e-01,-3.961249e-01,-4.479135e-01,-1.314947e+01,-1.330495e+01,9.007676e-01,-1.314888e+02,9.999579e+01,-1.915998e+01,1.213394e-05,
2.999998e-01,8.015164e-01,-3.962086e-01,-4.478730e-01,-1.315214e+01,-1.330365e+01,9.007582e-01,-1.314974e+02,9.999129e+01,-1.915487e+01,1.214824e-05,
3.299998e-01,8.015588e-01,-3.962890e-01,-4.477258e-01,-1.315385e+01,-1.329893e+01,9.007794e-01,-1.315125e+02,9.999813e+01,-1.915355e+01,1.215191e-05,
3.599998e-01,8.014397e-01,-3.963812e-01,-4.478575e-01,-1.315819e+01,-1.330315e+01,9.007199e-01,-1.315108e+02,9.999500e+01,-1.915532e+01,1.214697e-05,
3.899998e-01,8.012514e-01,-3.967798e-01,-4.478414e-01,-1.317231e+01,-1.330264e+01,9.006257e-01,-1.315404e+02,1.000163e+02,-1.915290e+01,1.215375e-05,
4.199998e-01,8.011953e-01,-3.967656e-01,-4.479545e-01,-1.317270e+01,-1.330626e+01,9.005976e-01,-1.315322e+02,1.000221e+02,-1.915417e+01,1.215018e-05,
4.499998e-01,8.011232e-01,-3.970308e-01,-4.478484e-01,-1.318134e+01,-1.330286e+01,9.005616e-01,-1.315579e+02,1.000131e+02,-1.915640e+01,1.214394e-05,
4.799997e-01,8.011136e-01,-3.972495e-01,-4.476716e-01,-1.318775e+01,-1.329720e+01,9.005568e-01,-1.315848e+02,1.000250e+02,-1.915572e+01,1.214586e-05,
5.099997e-01,8.012269e-01,-3.968488e-01,-4.478241e-01,-1.317464e+01,-1.330208e+01,9.006135e-01,-1.315464e+02,1.000216e+02,-1.915214e+01,1.215588e-05,
5.399997e-01,8.011570e-01,-3.969212e-01,-4.478851e-01,-1.317771e+01,-1.330404e+01,9.005785e-01,-1.315478e+02,1.000182e+02,-1.915397e+01,1.215075e-05,
5.699997e-01,8.012504e-01,-3.968167e-01,-4.478106e-01,-1.317338e+01,-1.330165e+01,9.006252e-01,-1.315450e+02,1.000246e+02,-1.914740e+01,1.216915e-05,
5.999997e-01,8.013292e-01,-3.965562e-01,-4.479004e-01,-1.316478e+01,-1.330453e+01,9.006646e-01,-1.315206e+02,1.000074e+02,-1.915254e+01,1.215475e-05,
6.299997e-01,8.013057e-01,-3.966623e-01,-4.478484e-01,-1.316817e+01,-1.330286e+01,9.006528e-01,-1.315315e+02,1.000020e+02,-1.915751e+01,1.214085e-05,
6.599996e-01,8.016165e-01,-3.961658e-01,-4.477316e-01,-1.314949e+01,-1.329912e+01,9.008082e-01,-1.315033e+02,9.999900e+01,-1.914956e+01,1.216308e-05,
6.899996e-01,8.013896e-01,-3.963159e-01,-4.480049e-01,-1.315702e+01,-1.330788e+01,9.006948e-01,-1.314967e+02,1.000024e+02,-1.915301e+01,1.215343e-05,
7.199996e-01,8.015301e-01,-3.963536e-01,-4.477202e-01,-1.315611e+01,-1.329876e+01,9.007650e-01,-1.315175e+02,9.999506e+01,-1.915204e+01,1.215615e-05,
7.499996e-01,8.015845e-01,-3.960915e-01,-4.478548e-01,-1.314781e+01,-1.330307e+01,9.007922e-01,-1.314902e+02,9.998780e+01,-1.914664e+01,1.217127e-05,
7.799996e-01,8.014055e-01,-3.965148e-01,-4.478004e-01,-1.316251e+01,-1.330132e+01,9.007028e-01,-1.315240e+02,1.000080e+02,-1.915410e+01,1.215040e-05,
8.099996e-01,8.016956e-01,-3.959312e-01,-4.477976e-01,-1.314163e+01,-1.330123e+01,9.008478e-01,-1.314823e+02,9.998829e+01,-1.915285e+01,1.215388e-05,
8.399996e-01,8.015038e-01,-3.961729e-01,-4.479271e-01,-1.315129e+01,-1.330538e+01,9.007519e-01,-1.314914e+02,9.999571e+01,-1.914762e+01,1.216853e-05,
8.699995e-01,8.015734e-01,-3.961873e-01,-4.477897e-01,-1.315072e+01,-1.330098e+01,9.007867e-01,-1.315012e+02,1.000033e+02,-1.915175e+01,1.215695e-05,
8.999995e-01,8.015952e-01,-3.961392e-01,-4.477933e-01,-1.314903e+01,-1.330110e+01,9.007976e-01,-1.314975e+02,9.997964e+01,-1.915156e+01,1.215749e-05,
9.299995e-01,8.014173e-01,-3.964773e-01,-4.478126e-01,-1.316127e+01,-1.330171e+01,9.007086e-01,-1.315205e+02,1.000104e+02,-1.914593e+01,1.217327e-05,
9.599995e-01,8.013641e-01,-3.964251e-01,-4.479539e-01,-1.316052e+01,-1.330624e+01,9.006821e-01,-1.315078e+02,1.000069e+02,-1.915135e+01,1.215809e-05,
9.899995e-01,8.014847e-01,-3.964966e-01,-4.476747e-01,-1.316086e+01,-1.329730e+01,9.007424e-01,-1.315307e+02,1.000003e+02,-1.915228e+01,1.215549e-05,
1.019999e+00,8.015037e-01,-3.963636e-01,-4.477585e-01,-1.315677e+01,-1.329998e+01,9.007519e-01,-1.315158e+02,1.000031e+02,-1.914816e+01,1.216701e-05,
1.049999e+00,8.012554e-01,-3.966479e-01,-4.479511e-01,-1.316847e+01,-1.330615e+01,9.006277e-01,-1.315240e+02,1.000053e+02,-1.915461e+01,1.214895e-05,
1.079999e+00,8.014378e-01,-3.965379e-01,-4.477222e-01,-1.316271e+01,-1.329882e+01,9.007189e-01,-1.315306e+02,1.000034e+02,-1.914692e+01,1.217048e-05,
1.109999e+00,8.014116e-01,-3.965299e-01,-4.477761e-01,-1.316286e+01,-1.330055e+01,9.007058e-01,-1.315266e+02,1.000076e+02,-1.914492e+01,1.217610e-05,
1.139999e+00,8.011463e-01,-3.969150e-01,-4.479097e-01,-1.317769e+01,-1.330483e+01,9.005731e-01,-1.315457e+02,1.000101e+02,-1.915326e+01,1.215274e-05,
1.169999e+00,8.014581e-01,-3.965014e-01,-4.477181e-01,-1.316138e+01,-1.329869e+01,9.007291e-01,-1.315283e+02,1.000043e+02,-1.915065e+01,1.216005e-05,
1.199999e+00,8.011114e-01,-3.970390e-01,-4.478622e-01,-1.318174e+01,-1.330330e+01,9.005557e-01,-1.315576e+02,1.000274e+02,-1.914945e+01,1.216340e-05,
1.229999e+00,8.011050e-01,-3.971819e-01,-4.477469e-01,-1.318594e+01,-1.329961e+01,9.005525e-01,-1.315752e+02,1.000186e+02,-1.915252e+01,1.215481e-05,
1.259999e+00,8.013076e-01,-3.968446e-01,-4.476835e-01,-1.317337e+01,-1.329758e+01,9.006538e-01,-1.315551e+02,1.000140e+02,-1.914644e+01,1.217183e-05,
1.289999e+00,8.010904e-01,-3.969544e-01,-4.479748e-01,-1.317961e+01,-1.330691e+01,9.005452e-01,-1.315444e+02,1.000253e+02,-1.914679e+01,1.217086e-05,
1.319999e+00,8.011587e-01,-3.970282e-01,-4.477871e-01,-1.318076e+01,-1.330090e+01,9.005794e-01,-1.315616e+02,1.000214e+02,-1.915000e+01,1.216185e-05,
1.349999e+00,8.014076e-01,-3.965058e-01,-4.478046e-01,-1.316222e+01,-1.330146e+01,9.007038e-01,-1.315231e+02,1.000087e+02,-1.914495e+01,1.217601e-05,
1.379999e+00,8.012380e-01,-3.967758e-01,-4.478690e-01,-1.317239e+01,-1.330352e+01,9.006190e-01,-1.315384e+02,1.000114e+02,-1.914978e+01,1.216248e-05,
1.409999e+00,8.013068e-01,-3.968261e-01,-4.477014e-01,-1.317285e+01,-1.329815e+01,9.006534e-01,-1.315526e+02,1.000113e+02,-1.914981e+01,1.216239e-05,
1.439999e+00,8.013775e-01,-3.965043e-01,-4.478599e-01,-1.316261e+01,-1.330323e+01,9.006887e-01,-1.315195e+02,1.000086e+02,-1.914439e+01,1.217758e-05,
1.469999e+00,8.012372e-01,-3.967165e-01,-4.479230e-01,-1.317069e+01,-1.330525e+01,9.006186e-01,-1.315307e+02,1.000156e+02,-1.914724e+01,1.216958e-05,
1.499999e+00,8.015452e-01,-3.962291e-01,-4.478033e-01,-1.315232e+01,-1.330142e+01,9.007726e-01,-1.315033e+02,9.999329e+01,-1.914913e+01,1.216429e-05,
1.529999e+00,8.013689e-01,-3.965512e-01,-4.478337e-01,-1.316407e+01,-1.330239e+01,9.006845e-01,-1.315245e+02,1.000037e+02,-1.914951e+01,1.216322e-05,
1.559999e+00,8.012733e-01,-3.967795e-01,-4.478026e-01,-1.317199e+01,-1.330139e+01,9.006367e-01,-1.315428e+02,1.000235e+02,-1.914957e+01,1.216307e-05,
1.589999e+00,8.015125e-01,-3.963555e-01,-4.477500e-01,-1.315642e+01,-1.329971e+01,9.007562e-01,-1.315158e+02,9.999359e+01,-1.915158e+01,1.215743e-05,
1.619999e+00,8.013232e-01,-3.965147e-01,-4.479479e-01,-1.316368e+01,-1.330605e+01,9.006616e-01,-1.315146e+02,1.000069e+02,-1.914563e+01,1.217410e-05,
1.649999e+00,8.015217e-01,-3.963075e-01,-4.477759e-01,-1.315491e+01,-1.330054e+01,9.007609e-01,-1.315107e+02,1.000067e+02,-1.914712e+01,1.216993e-05,
1.679999e+00,8.014308e-01,-3.964212e-01,-4.478381e-01,-1.315946e+01,-1.330253e+01,9.007154e-01,-1.315149e+02,9.999632e+01,-1.914796e+01,1.216758e-05,
1.709999e+00,8.013621e-01,-3.966165e-01,-4.477880e-01,-1.316605e+01,-1.330093e+01,9.006811e-01,-1.315321e+02,1.000128e+02,-1.914614e+01,1.217268e-05,
1.739999e+00,8.014174e-01,-3.963463e-01,-4.479283e-01,-1.315750e+01,-1.330542e+01,9.007087e-01,-1.315038e+02,1.000036e+02,-1.914657e+01,1.217147e-05,
1.769999e+00,8.013619e-01,-3.965619e-01,-4.478368e-01,-1.316448e+01,-1.330249e+01,9.006809e-01,-1.315251e+02,1.000025e+02,-1.914750e+01,1.216887e-05,
1.799999e+00,8.014717e-01,-3.963929e-01,-4.477898e-01,-1.315807e+01,-1.330098e+01,9.007359e-01,-1.315159e+02,1.000053e+02,-1.914435e+01,1.217769e-05,
1.829999e+00,8.013631e-01,-3.964439e-01,-4.479391e-01,-1.316107e+01,-1.330577e+01,9.006816e-01,-1.315101e+02,9.999741e+01,-1.914643e+01,1.217185e-05,
1.859999e+00,8.014574e-01,-3.964358e-01,-4.477775e-01,-1.315950e+01,-1.330059e+01,9.007287e-01,-1.315198e+02,1.000051e+02,-1.914754e+01,1.216876e-05,
1.889999e+00,8.014036e-01,-3.964092e-01,-4.478973e-01,-1.315950e+01,-1.330443e+01,9.007018e-01,-1.315103e+02,9.999907e+01,-1.914321e+01,1.218090e-05,
1.919999e+00,8.011572e-01,-3.968828e-01,-4.479187e-01,-1.317661e+01,-1.330511e+01,9.005786e-01,-1.315429e+02,1.000157e+02,-1.914562e+01,1.217413e-05,
1.949999e+00,8.012554e-01,-3.967159e-01,-4.478910e-01,-1.317042e+01,-1.330422e+01,9.006277e-01,-1.315327e+02,1.000190e+02,-1.914860e+01,1.216578e-05,
1.979999e+00,8.014137e-01,-3.965588e-01,-4.477468e-01,-1.316366e+01,-1.329961e+01,9.007068e-01,-1.315306e+02,9.999233e+01,-1.914730e+01,1.216944e-05,
2.009999e+00,8.011192e-01,-3.970534e-01,-4.478355e-01,-1.318204e+01,-1.330245e+01,9.005596e-01,-1.315604e+02,1.000220e+02,-1.914213e+01,1.218392e-05,
2.039999e+00,8.013442e-01,-3.964210e-01,-4.479932e-01,-1.316069e+01,-1.330750e+01,9.006721e-01,-1.315050e+02,1.000126e+02,-1.914624e+01,1.217240e-05,
2.069999e+00,8.014490e-01,-3.964355e-01,-4.477929e-01,-1.315961e+01,-1.330108e+01,9.007245e-01,-1.315188e+02,9.999196e+01,-1.914851e+01,1.216604e-05,
2.099999e+00,8.012578e-01,-3.968416e-01,-4.477752e-01,-1.317399e+01,-1.330052e+01,9.006289e-01,-1.315490e+02,1.000196e+02,-1.914350e+01,1.218007e-05,
2.129999e+00,8.011993e-01,-3.966767e-01,-4.480260e-01,-1.317009e+01,-1.330855e+01,9.005996e-01,-1.315213e+02,1.000143e+02,-1.914738e+01,1.216920e-05,
2.159999e+00,8.013183e-01,-3.967538e-01,-4.477447e-01,-1.317061e+01,-1.329954e+01,9.006592e-01,-1.315447e+02,9.999459e+01,-1.914841e+01,1.216631e-05,
2.189999e+00,8.014155e-01,-3.965335e-01,-4.477660e-01,-1.316291e+01,-1.330022e+01,9.007077e-01,-1.315275e+02,1.000099e+02,-1.914032e+01,1.218900e-05,
2.219999e+00,8.013339e-01,-3.964637e-01,-4.479739e-01,-1.316206e+01,-1.330688e+01,9.006669e-01,-1.315093e+02,1.000087e+02,-1.914316e+01,1.218103e-05,
2.249999e+00,8.013798e-01,-3.965168e-01,-4.478445e-01,-1.316293e+01,-1.330274e+01,9.006899e-01,-1.315213e+02,1.000102e+02,-1.914911e+01,1.216435e-05,
2.279999e+00,8.016545e-01,-3.960208e-01,-4.477919e-01,-1.314478e+01,-1.330105e+01,9.008273e-01,-1.314891e+02,9.997356e+01,-1.914117e+01,1.218662e-05,
2.309999e+00,8.011767e-01,-3.967478e-01,-4.480034e-01,-1.317245e+01,-1.330783e+01,9.005884e-01,-1.315278e+02,1.000203e+02,-1.914284e+01,1.218193e-05,
2.339999e+00,8.016890e-01,-3.961027e-01,-4.476576e-01,-1.314665e+01,-1.329675e+01,9.008445e-01,-1.315035e+02,9.999081e+01,-1.915286e+01,1.215386e-05,
2.369999e+00,8.013475e-01,-3.964744e-01,-4.479400e-01,-1.316218e+01,-1.330580e+01,9.006737e-01,-1.315122e+02,1.000040e+02,-1.913900e+01,1.219270e-05,
2.399999e+00,8.013532e-01,-3.964794e-01,-4.479253e-01,-1.316224e+01,-1.330532e+01,9.006766e-01,-1.315135e+02,1.000205e+02,-1.914124e+01,1.218643e-05,
2.429999e+00,8.016540e-01,-3.960633e-01,-4.477552e-01,-1.314601e+01,-1.329988e+01,9.008270e-01,-1.314945e+02,9.997622e+01,-1.915228e+01,1.215549e-05,
2.459999e+00,8.014205e-01,-3.965113e-01,-4.477766e-01,-1.316220e+01,-1.330056e+01,9.007103e-01,-1.315253e+02,1.000025e+02,-1.913879e+01,1.219328e-05,
2.489999e+00,8.014088e-01,-3.963385e-01,-4.479506e-01,-1.315740e+01,-1.330614e+01,9.007044e-01,-1.315018e+02,1.000129e+02,-1.914515e+01,1.217546e-05,
2.519999e+00,8.015238e-01,-3.962598e-01,-4.478145e-01,-1.315351e+01,-1.330177e+01,9.007619e-01,-1.315048e+02,9.998598e+01,-1.914774e+01,1.216818e-05,
2.549999e+00,8.015815e-01,-3.962170e-01,-4.477489e-01,-1.315146e+01,-1.329967e+01,9.007908e-01,-1.315059e+02,9.999902e+01,-1.913950e+01,1.219131e-05,
2.579999e+00,8.013620e-01,-3.964612e-01,-4.479258e-01,-1.316159e+01,-1.330534e+01,9.006810e-01,-1.315122e+02,1.000018e+02,-1.914615e+01,1.217265e-05,
2.609999e+00,8.014079e-01,-3.965811e-01,-4.477374e-01,-1.316438e+01,-1.329930e+01,9.007039e-01,-1.315328e+02,1.000037e+02,-1.914840e+01,1.216634e-05,
2.639999e+00,8.015217e-01,-3.962293e-01,-4.478452e-01,-1.315266e+01,-1.330276e+01,9.007608e-01,-1.315007e+02,9.999930e+01,-1.914059e+01,1.218823e-05,
2.669999e+00,8.013610e-01,-3.965227e-01,-4.478731e-01,-1.316337e+01,-1.330365e+01,9.006805e-01,-1.315199e+02,1.000065e+02,-1.914552e+01,1.217441e-05,
2.699999e+00,8.015072e-01,-3.963853e-01,-4.477331e-01,-1.315735e+01,-1.329917e+01,9.007536e-01,-1.315190e+02,1.000057e+02,-1.914280e+01,1.218203e-05,
