"Date","September-27-2024"
"Time","23h30m59s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","168grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,2.519041e-01,-3.927196e-01,8.844861e-01,-2.866123e+01,3.109417e+01,6.259521e-01,1.139416e+02,1.000598e+02,-1.921867e+01,1.197107e-05,
2.999998e-02,2.517877e-01,-3.929728e-01,8.844068e-01,-2.867564e+01,3.108930e+01,6.258939e-01,1.139572e+02,1.000742e+02,-1.921635e+01,1.197746e-05,
5.999997e-02,2.520209e-01,-3.930836e-01,8.842911e-01,-2.866726e+01,3.108220e+01,6.260105e-01,1.139660e+02,1.000557e+02,-1.922025e+01,1.196671e-05,
8.999995e-02,2.519066e-01,-3.923613e-01,8.846444e-01,-2.864922e+01,3.110390e+01,6.259533e-01,1.139185e+02,1.000535e+02,-1.921804e+01,1.197281e-05,
1.199999e-01,2.519263e-01,-3.933990e-01,8.841778e-01,-2.868258e+01,3.107525e+01,6.259631e-01,1.139858e+02,1.000759e+02,-1.921434e+01,1.198302e-05,
1.499999e-01,2.517560e-01,-3.929732e-01,8.844156e-01,-2.867729e+01,3.108985e+01,6.258780e-01,1.139571e+02,1.000622e+02,-1.922044e+01,1.196620e-05,
1.799999e-01,2.520099e-01,-3.929779e-01,8.843412e-01,-2.866433e+01,3.108528e+01,6.260049e-01,1.139591e+02,1.000732e+02,-1.921912e+01,1.196984e-05,
2.099999e-01,2.521618e-01,-3.926388e-01,8.844485e-01,-2.864524e+01,3.109187e+01,6.260809e-01,1.139382e+02,1.000501e+02,-1.921646e+01,1.197715e-05,
2.399999e-01,2.514482e-01,-3.931852e-01,8.844090e-01,-2.870022e+01,3.108944e+01,6.257241e-01,1.139687e+02,1.000748e+02,-1.922348e+01,1.195781e-05,
2.699999e-01,2.522059e-01,-3.928623e-01,8.843367e-01,-2.865037e+01,3.108500e+01,6.261029e-01,1.139530e+02,1.000659e+02,-1.921720e+01,1.197513e-05,
2.999998e-01,2.518364e-01,-3.929557e-01,8.844005e-01,-2.867256e+01,3.108892e+01,6.259182e-01,1.139565e+02,1.000650e+02,-1.921635e+01,1.197748e-05,
3.299998e-01,2.517365e-01,-3.933315e-01,8.842618e-01,-2.869015e+01,3.108041e+01,6.258683e-01,1.139801e+02,1.000823e+02,-1.922062e+01,1.196570e-05,
3.599998e-01,2.522781e-01,-3.925534e-01,8.844533e-01,-2.863640e+01,3.109216e+01,6.261390e-01,1.139334e+02,1.000485e+02,-1.922086e+01,1.196504e-05,
3.899998e-01,2.514436e-01,-3.931989e-01,8.844042e-01,-2.870091e+01,3.108914e+01,6.257218e-01,1.139695e+02,1.000781e+02,-1.922130e+01,1.196383e-05,
4.199998e-01,2.517903e-01,-3.934678e-01,8.841859e-01,-2.869188e+01,3.107575e+01,6.258952e-01,1.139893e+02,1.000883e+02,-1.922267e+01,1.196005e-05,
4.499998e-01,2.523746e-01,-3.921968e-01,8.845839e-01,-2.861957e+01,3.110018e+01,6.261873e-01,1.139110e+02,1.000415e+02,-1.921911e+01,1.196986e-05,
4.799997e-01,2.516516e-01,-3.931273e-01,8.843768e-01,-2.868779e+01,3.108747e+01,6.258258e-01,1.139663e+02,1.000776e+02,-1.922612e+01,1.195056e-05,
5.099997e-01,2.522932e-01,-3.931379e-01,8.841893e-01,-2.865500e+01,3.107596e+01,6.261466e-01,1.139714e+02,1.000684e+02,-1.921718e+01,1.197518e-05,
5.399997e-01,2.520998e-01,-3.927525e-01,8.844157e-01,-2.865221e+01,3.108985e+01,6.260499e-01,1.139451e+02,1.000602e+02,-1.921675e+01,1.197636e-05,
5.699997e-01,2.517080e-01,-3.934138e-01,8.842334e-01,-2.869435e+01,3.107866e+01,6.258540e-01,1.139853e+02,1.000859e+02,-1.922180e+01,1.196243e-05,
5.999997e-01,2.519834e-01,-3.928572e-01,8.844024e-01,-2.866170e+01,3.108903e+01,6.259917e-01,1.139511e+02,1.000588e+02,-1.921955e+01,1.196864e-05,
6.299997e-01,2.515026e-01,-3.934848e-01,8.842602e-01,-2.870731e+01,3.108031e+01,6.257513e-01,1.139885e+02,1.000917e+02,-1.922196e+01,1.196202e-05,
6.599996e-01,2.524421e-01,-3.927887e-01,8.843020e-01,-2.863574e+01,3.108287e+01,6.262211e-01,1.139498e+02,1.000509e+02,-1.922028e+01,1.196664e-05,
6.899996e-01,2.518935e-01,-3.927808e-01,8.844619e-01,-2.866381e+01,3.109269e+01,6.259468e-01,1.139455e+02,1.000606e+02,-1.922336e+01,1.195815e-05,
7.199996e-01,2.518907e-01,-3.934282e-01,8.841750e-01,-2.868538e+01,3.107508e+01,6.259454e-01,1.139875e+02,1.000778e+02,-1.922451e+01,1.195499e-05,
7.499996e-01,2.519604e-01,-3.930601e-01,8.843188e-01,-2.866961e+01,3.108390e+01,6.259802e-01,1.139641e+02,1.000630e+02,-1.922477e+01,1.195427e-05,
7.799996e-01,2.517813e-01,-3.931342e-01,8.843369e-01,-2.868131e+01,3.108501e+01,6.258906e-01,1.139677e+02,1.000826e+02,-1.922300e+01,1.195914e-05,
8.099996e-01,2.521575e-01,-3.929159e-01,8.843267e-01,-2.865465e+01,3.108439e+01,6.260787e-01,1.139561e+02,1.000628e+02,-1.922208e+01,1.196168e-05,
8.399996e-01,2.516004e-01,-3.927615e-01,8.845539e-01,-2.867832e+01,3.109834e+01,6.258002e-01,1.139423e+02,1.000689e+02,-1.922524e+01,1.195297e-05,
8.699995e-01,2.516270e-01,-3.935837e-01,8.841808e-01,-2.870415e+01,3.107544e+01,6.258135e-01,1.139957e+02,1.000926e+02,-1.922323e+01,1.195852e-05,
8.999995e-01,2.520728e-01,-3.929424e-01,8.843391e-01,-2.865990e+01,3.108515e+01,6.260364e-01,1.139572e+02,1.000594e+02,-1.922337e+01,1.195811e-05,
9.299995e-01,2.519928e-01,-3.926814e-01,8.844778e-01,-2.865539e+01,3.109366e+01,6.259964e-01,1.139398e+02,1.000622e+02,-1.922435e+01,1.195544e-05,
9.599995e-01,2.524246e-01,-3.931739e-01,8.841358e-01,-2.864941e+01,3.107268e+01,6.262123e-01,1.139746e+02,1.000614e+02,-1.922202e+01,1.196185e-05,
9.899995e-01,2.513992e-01,-3.928064e-01,8.845912e-01,-2.869022e+01,3.110063e+01,6.256996e-01,1.139438e+02,1.000668e+02,-1.922832e+01,1.194450e-05,
1.019999e+00,2.516283e-01,-3.934106e-01,8.842575e-01,-2.869836e+01,3.108014e+01,6.258141e-01,1.139845e+02,1.000882e+02,-1.922674e+01,1.194884e-05,
1.049999e+00,2.521381e-01,-3.929826e-01,8.843026e-01,-2.865786e+01,3.108291e+01,6.260690e-01,1.139603e+02,1.000653e+02,-1.922353e+01,1.195768e-05,
