"Date","September-27-2024"
"Time","23h29m22s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","156grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,3.338071e-02,-3.409366e-02,9.988610e-01,-2.280269e+01,4.363257e+01,5.166904e-01,9.195489e+01,1.000574e+02,-1.912613e+01,1.222890e-05,
2.999998e-02,3.424569e-02,-3.380244e-02,9.988416e-01,-2.231339e+01,4.362098e+01,5.171228e-01,9.193824e+01,1.000182e+02,-1.912307e+01,1.223752e-05,
5.999997e-02,3.320967e-02,-3.360462e-02,9.988833e-01,-2.266934e+01,4.364601e+01,5.166048e-01,9.192683e+01,1.000549e+02,-1.913358e+01,1.220792e-05,
8.999995e-02,3.348853e-02,-3.431970e-02,9.988497e-01,-2.285114e+01,4.362577e+01,5.167443e-01,9.196786e+01,1.000430e+02,-1.913340e+01,1.220844e-05,
1.199999e-01,3.394410e-02,-3.386485e-02,9.988498e-01,-2.246652e+01,4.362586e+01,5.169721e-01,9.194180e+01,1.000227e+02,-1.912923e+01,1.222016e-05,
1.499999e-01,3.371383e-02,-3.393436e-02,9.988553e-01,-2.259339e+01,4.362911e+01,5.168569e-01,9.194578e+01,1.000445e+02,-1.913225e+01,1.221167e-05,
1.799999e-01,3.421932e-02,-3.335924e-02,9.988574e-01,-2.213542e+01,4.363042e+01,5.171097e-01,9.191282e+01,1.000256e+02,-1.912996e+01,1.221812e-05,
2.099999e-01,3.317148e-02,-3.388695e-02,9.988750e-01,-2.280564e+01,4.364100e+01,5.165857e-01,9.194302e+01,1.000522e+02,-1.913364e+01,1.220775e-05,
2.399999e-01,3.391540e-02,-3.450873e-02,9.988288e-01,-2.274841e+01,4.361333e+01,5.169577e-01,9.197874e+01,1.000236e+02,-1.913377e+01,1.220738e-05,
2.699999e-01,3.366118e-02,-3.356784e-02,9.988694e-01,-2.246023e+01,4.363762e+01,5.168306e-01,9.192475e+01,1.000440e+02,-1.913437e+01,1.220570e-05,
2.999998e-01,3.365118e-02,-3.383498e-02,9.988607e-01,-2.257802e+01,4.363240e+01,5.168256e-01,9.194007e+01,1.000477e+02,-1.913433e+01,1.220581e-05,
3.299998e-01,3.423210e-02,-3.377664e-02,9.988430e-01,-2.230815e+01,4.362178e+01,5.171160e-01,9.193676e+01,1.000097e+02,-1.913711e+01,1.219801e-05,
3.599998e-01,3.340270e-02,-3.370513e-02,9.988735e-01,-2.262910e+01,4.364006e+01,5.167014e-01,9.193261e+01,1.000512e+02,-1.913515e+01,1.220352e-05,
3.899998e-01,3.356468e-02,-3.462673e-02,9.988365e-01,-2.294614e+01,4.361794e+01,5.167823e-01,9.198548e+01,1.000393e+02,-1.913444e+01,1.220550e-05,
4.199998e-01,3.376040e-02,-3.363467e-02,9.988638e-01,-2.244655e+01,4.363425e+01,5.168802e-01,9.192859e+01,1.000351e+02,-1.913838e+01,1.219443e-05,
4.499998e-01,3.376063e-02,-3.367532e-02,9.988624e-01,-2.246376e+01,4.363342e+01,5.168803e-01,9.193092e+01,1.000457e+02,-1.913714e+01,1.219792e-05,
4.799997e-01,3.392107e-02,-3.403661e-02,9.988448e-01,-2.254871e+01,4.362284e+01,5.169605e-01,9.195165e+01,1.000213e+02,-1.913613e+01,1.220076e-05,
5.099997e-01,3.346442e-02,-3.378891e-02,9.988686e-01,-2.263822e+01,4.363711e+01,5.167322e-01,9.193742e+01,1.000431e+02,-1.914203e+01,1.218419e-05,
5.399997e-01,3.416458e-02,-3.421189e-02,9.988305e-01,-2.251982e+01,4.361435e+01,5.170823e-01,9.196173e+01,1.000276e+02,-1.913380e+01,1.220732e-05,
5.699997e-01,3.368641e-02,-3.378732e-02,9.988612e-01,-2.254284e+01,4.363266e+01,5.168432e-01,9.193734e+01,1.000368e+02,-1.913764e+01,1.219653e-05,
5.999997e-01,3.344109e-02,-3.434477e-02,9.988504e-01,-2.288190e+01,4.362621e+01,5.167205e-01,9.196930e+01,1.000479e+02,-1.914198e+01,1.218433e-05,
6.299997e-01,3.436659e-02,-3.373498e-02,9.988398e-01,-2.223431e+01,4.361987e+01,5.171833e-01,9.193438e+01,1.000083e+02,-1.913685e+01,1.219873e-05,
6.599996e-01,3.326281e-02,-3.426766e-02,9.988590e-01,-2.292625e+01,4.363136e+01,5.166314e-01,9.196486e+01,1.000497e+02,-1.914097e+01,1.218717e-05,
6.899996e-01,3.404064e-02,-3.410802e-02,9.988383e-01,-2.252832e+01,4.361897e+01,5.170203e-01,9.195576e+01,1.000289e+02,-1.914138e+01,1.218603e-05,
7.199996e-01,3.411732e-02,-3.351083e-02,9.988559e-01,-2.224310e+01,4.362947e+01,5.170587e-01,9.192151e+01,1.000190e+02,-1.913690e+01,1.219861e-05,
7.499996e-01,3.333194e-02,-3.461320e-02,9.988448e-01,-2.304016e+01,4.362285e+01,5.166660e-01,9.198469e+01,1.000503e+02,-1.913951e+01,1.219127e-05,
7.799996e-01,3.402699e-02,-3.379119e-02,9.988495e-01,-2.240039e+01,4.362566e+01,5.170135e-01,9.193758e+01,1.000224e+02,-1.914184e+01,1.218472e-05,
8.099996e-01,3.349766e-02,-3.355440e-02,9.988754e-01,-2.252424e+01,4.364121e+01,5.167488e-01,9.192397e+01,1.000481e+02,-1.914117e+01,1.218661e-05,
8.399996e-01,3.345033e-02,-3.448268e-02,9.988453e-01,-2.293531e+01,4.362318e+01,5.167252e-01,9.197721e+01,1.000426e+02,-1.914421e+01,1.217810e-05,
