"Date","September-27-2024"
"Time","23h21m27s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","78grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,2.080766e-01,-4.065408e-01,-8.896228e-01,-3.144781e+01,-3.141294e+01,6.040383e-01,-1.145595e+02,9.990723e+01,-1.923151e+01,1.193572e-05,
2.999998e-02,2.086695e-01,-4.060054e-01,-8.897284e-01,-3.139938e+01,-3.141957e+01,6.043347e-01,-1.145284e+02,9.987186e+01,-1.922903e+01,1.194255e-05,
5.999997e-02,2.081509e-01,-4.062384e-01,-8.897435e-01,-3.143501e+01,-3.142052e+01,6.040755e-01,-1.145405e+02,9.990053e+01,-1.922964e+01,1.194087e-05,
8.999995e-02,2.084278e-01,-4.063719e-01,-8.896177e-01,-3.142338e+01,-3.141262e+01,6.042139e-01,-1.145506e+02,9.989004e+01,-1.922870e+01,1.194346e-05,
1.199999e-01,2.081196e-01,-4.061811e-01,-8.897770e-01,-3.143512e+01,-3.142262e+01,6.040598e-01,-1.145366e+02,9.989944e+01,-1.923131e+01,1.193628e-05,
1.499999e-01,2.076853e-01,-4.065458e-01,-8.897119e-01,-3.146981e+01,-3.141854e+01,6.038427e-01,-1.145576e+02,9.991019e+01,-1.923333e+01,1.193072e-05,
1.799999e-01,2.083936e-01,-4.065207e-01,-8.895578e-01,-3.142954e+01,-3.140886e+01,6.041968e-01,-1.145600e+02,9.990599e+01,-1.923137e+01,1.193610e-05,
2.099999e-01,2.079787e-01,-4.062486e-01,-8.897791e-01,-3.144493e+01,-3.142275e+01,6.039894e-01,-1.145401e+02,9.990273e+01,-1.923239e+01,1.193330e-05,
2.399999e-01,2.080177e-01,-4.065571e-01,-8.896291e-01,-3.145157e+01,-3.141334e+01,6.040088e-01,-1.145602e+02,9.990943e+01,-1.923078e+01,1.193773e-05,
2.699999e-01,2.083892e-01,-4.061811e-01,-8.897139e-01,-3.142007e+01,-3.141866e+01,6.041946e-01,-1.145381e+02,9.988860e+01,-1.922852e+01,1.194394e-05,
2.999998e-01,2.078819e-01,-4.065571e-01,-8.896608e-01,-3.145915e+01,-3.141533e+01,6.039410e-01,-1.145594e+02,9.991293e+01,-1.923241e+01,1.193326e-05,
3.299998e-01,2.083486e-01,-4.065279e-01,-8.895650e-01,-3.143226e+01,-3.140932e+01,6.041743e-01,-1.145602e+02,9.990155e+01,-1.923019e+01,1.193936e-05,
3.599998e-01,2.081808e-01,-4.061915e-01,-8.897579e-01,-3.143200e+01,-3.142142e+01,6.040904e-01,-1.145376e+02,9.989422e+01,-1.922984e+01,1.194032e-05,
3.899998e-01,2.083717e-01,-4.064709e-01,-8.895857e-01,-3.142934e+01,-3.141061e+01,6.041859e-01,-1.145567e+02,9.989655e+01,-1.923048e+01,1.193856e-05,
4.199998e-01,2.084948e-01,-4.058296e-01,-8.898496e-01,-3.140409e+01,-3.142718e+01,6.042474e-01,-1.145161e+02,9.985807e+01,-1.922871e+01,1.194343e-05,
4.499998e-01,2.080279e-01,-4.067115e-01,-8.895562e-01,-3.145541e+01,-3.140876e+01,6.040140e-01,-1.145702e+02,9.991449e+01,-1.922912e+01,1.194229e-05,
4.799997e-01,2.084990e-01,-4.061975e-01,-8.896807e-01,-3.141441e+01,-3.141658e+01,6.042495e-01,-1.145398e+02,9.988434e+01,-1.922877e+01,1.194327e-05,
5.099997e-01,2.080950e-01,-4.062396e-01,-8.897561e-01,-3.143817e+01,-3.142130e+01,6.040475e-01,-1.145402e+02,9.989330e+01,-1.922939e+01,1.194155e-05,
5.399997e-01,2.086878e-01,-4.062537e-01,-8.896108e-01,-3.140548e+01,-3.141219e+01,6.043439e-01,-1.145445e+02,9.987946e+01,-1.922697e+01,1.194822e-05,
5.699997e-01,2.079857e-01,-4.063576e-01,-8.897277e-01,-3.144766e+01,-3.141953e+01,6.039928e-01,-1.145472e+02,9.990185e+01,-1.923171e+01,1.193517e-05,
5.999997e-01,2.079127e-01,-4.066858e-01,-8.895949e-01,-3.146111e+01,-3.141119e+01,6.039564e-01,-1.145679e+02,9.991328e+01,-1.923010e+01,1.193962e-05,
6.299997e-01,2.084727e-01,-4.061126e-01,-8.897256e-01,-3.141344e+01,-3.141940e+01,6.042363e-01,-1.145342e+02,9.988581e+01,-1.922563e+01,1.195191e-05,
6.599996e-01,2.078872e-01,-4.064771e-01,-8.896962e-01,-3.145657e+01,-3.141755e+01,6.039436e-01,-1.145543e+02,9.991396e+01,-1.923028e+01,1.193912e-05,
6.899996e-01,2.083282e-01,-4.064507e-01,-8.896051e-01,-3.143119e+01,-3.141183e+01,6.041641e-01,-1.145551e+02,9.989457e+01,-1.922792e+01,1.194561e-05,
7.199996e-01,2.080639e-01,-4.062473e-01,-8.897598e-01,-3.144013e+01,-3.142154e+01,6.040319e-01,-1.145405e+02,9.989757e+01,-1.922729e+01,1.194734e-05,
7.499996e-01,2.076765e-01,-4.068525e-01,-8.895738e-01,-3.147906e+01,-3.140987e+01,6.038383e-01,-1.145773e+02,9.992945e+01,-1.923131e+01,1.193627e-05,
7.799996e-01,2.082728e-01,-4.061703e-01,-8.897461e-01,-3.142626e+01,-3.142068e+01,6.041364e-01,-1.145368e+02,9.988264e+01,-1.922634e+01,1.194994e-05,
8.099996e-01,2.079283e-01,-4.064853e-01,-8.896828e-01,-3.145451e+01,-3.141671e+01,6.039642e-01,-1.145551e+02,9.991569e+01,-1.922734e+01,1.194721e-05,
8.399996e-01,2.082739e-01,-4.063741e-01,-8.896528e-01,-3.143203e+01,-3.141482e+01,6.041370e-01,-1.145499e+02,9.989228e+01,-1.922642e+01,1.194972e-05,
8.699995e-01,2.081550e-01,-4.061131e-01,-8.897998e-01,-3.143120e+01,-3.142405e+01,6.040775e-01,-1.145324e+02,9.989106e+01,-1.922595e+01,1.195102e-05,
8.999995e-01,2.077443e-01,-4.066500e-01,-8.896505e-01,-3.146949e+01,-3.141468e+01,6.038722e-01,-1.145646e+02,9.991953e+01,-1.922820e+01,1.194484e-05,
9.299995e-01,2.084022e-01,-4.062146e-01,-8.896956e-01,-3.142030e+01,-3.141751e+01,6.042011e-01,-1.145404e+02,9.988141e+01,-1.922695e+01,1.194827e-05,
9.599995e-01,2.077593e-01,-4.062138e-01,-8.898463e-01,-3.145619e+01,-3.142697e+01,6.038797e-01,-1.145366e+02,9.989534e+01,-1.922795e+01,1.194553e-05,
9.899995e-01,2.083816e-01,-4.067392e-01,-8.894607e-01,-3.143646e+01,-3.140278e+01,6.041908e-01,-1.145740e+02,9.992303e+01,-1.922314e+01,1.195875e-05,
1.019999e+00,2.082456e-01,-4.059344e-01,-8.898601e-01,-3.142102e+01,-3.142784e+01,6.041228e-01,-1.145214e+02,9.987693e+01,-1.922595e+01,1.195103e-05,
1.049999e+00,2.078683e-01,-4.062488e-01,-8.898049e-01,-3.145110e+01,-3.142437e+01,6.039342e-01,-1.145395e+02,9.988469e+01,-1.922527e+01,1.195288e-05,
1.079999e+00,2.085084e-01,-4.063766e-01,-8.895967e-01,-3.141901e+01,-3.141131e+01,6.042542e-01,-1.145514e+02,9.989921e+01,-1.922367e+01,1.195730e-05,
1.109999e+00,2.078773e-01,-4.062742e-01,-8.897911e-01,-3.145132e+01,-3.142351e+01,6.039387e-01,-1.145412e+02,9.990147e+01,-1.922967e+01,1.194078e-05,
1.139999e+00,2.083273e-01,-4.064998e-01,-8.895828e-01,-3.143264e+01,-3.141044e+01,6.041637e-01,-1.145583e+02,9.989935e+01,-1.922051e+01,1.196599e-05,
1.169999e+00,2.081993e-01,-4.059148e-01,-8.898799e-01,-3.142304e+01,-3.142908e+01,6.040997e-01,-1.145199e+02,9.987757e+01,-1.922194e+01,1.196207e-05,
1.199999e+00,2.077814e-01,-4.065092e-01,-8.897062e-01,-3.146340e+01,-3.141818e+01,6.038907e-01,-1.145558e+02,9.990656e+01,-1.922777e+01,1.194601e-05,
1.229999e+00,2.084510e-01,-4.061698e-01,-8.897046e-01,-3.141629e+01,-3.141808e+01,6.042255e-01,-1.145377e+02,9.988139e+01,-1.922075e+01,1.196534e-05,
1.259999e+00,2.082458e-01,-4.063325e-01,-8.896784e-01,-3.143241e+01,-3.141643e+01,6.041229e-01,-1.145471e+02,9.991060e+01,-1.922225e+01,1.196120e-05,
1.289999e+00,2.079194e-01,-4.065287e-01,-8.896651e-01,-3.145625e+01,-3.141559e+01,6.039597e-01,-1.145578e+02,9.990694e+01,-1.922697e+01,1.194820e-05,
1.319999e+00,2.082623e-01,-4.059749e-01,-8.898377e-01,-3.142124e+01,-3.142643e+01,6.041312e-01,-1.145241e+02,9.987623e+01,-1.922138e+01,1.196360e-05,
1.349999e+00,2.074644e-01,-4.066407e-01,-8.897201e-01,-3.148487e+01,-3.141905e+01,6.037322e-01,-1.145625e+02,9.993279e+01,-1.922594e+01,1.195106e-05,
1.379999e+00,2.078252e-01,-4.066908e-01,-8.896130e-01,-3.146614e+01,-3.141233e+01,6.039126e-01,-1.145677e+02,9.991779e+01,-1.922374e+01,1.195711e-05,
1.409999e+00,2.082450e-01,-4.059592e-01,-8.898490e-01,-3.142176e+01,-3.142714e+01,6.041225e-01,-1.145230e+02,9.988069e+01,-1.921838e+01,1.197188e-05,
1.439999e+00,2.078895e-01,-4.066140e-01,-8.896331e-01,-3.146035e+01,-3.141359e+01,6.039447e-01,-1.145632e+02,9.992281e+01,-1.922248e+01,1.196057e-05,
1.469999e+00,2.084703e-01,-4.062226e-01,-8.896760e-01,-3.141673e+01,-3.141628e+01,6.042351e-01,-1.145413e+02,9.988967e+01,-1.922006e+01,1.196725e-05,
1.499999e+00,2.081197e-01,-4.060602e-01,-8.898322e-01,-3.143165e+01,-3.142608e+01,6.040599e-01,-1.145288e+02,9.988796e+01,-1.922077e+01,1.196527e-05,
1.529999e+00,2.076130e-01,-4.068533e-01,-8.895883e-01,-3.148263e+01,-3.141078e+01,6.038065e-01,-1.145770e+02,9.992648e+01,-1.922487e+01,1.195398e-05,
1.559999e+00,2.084200e-01,-4.063243e-01,-8.896413e-01,-3.142245e+01,-3.141410e+01,6.042100e-01,-1.145475e+02,9.990222e+01,-1.921725e+01,1.197500e-05,
1.589999e+00,2.082834e-01,-4.063790e-01,-8.896483e-01,-3.143164e+01,-3.141454e+01,6.041417e-01,-1.145503e+02,9.989909e+01,-1.921919e+01,1.196965e-05,
1.619999e+00,2.085130e-01,-4.060139e-01,-8.897613e-01,-3.140836e+01,-3.142163e+01,6.042565e-01,-1.145281e+02,9.986259e+01,-1.922143e+01,1.196347e-05,
1.649999e+00,2.079209e-01,-4.064516e-01,-8.896999e-01,-3.145396e+01,-3.141778e+01,6.039605e-01,-1.145529e+02,9.990850e+01,-1.922173e+01,1.196264e-05,
1.679999e+00,2.084530e-01,-4.066994e-01,-8.894622e-01,-3.143134e+01,-3.140287e+01,6.042265e-01,-1.145719e+02,9.991084e+01,-1.921938e+01,1.196912e-05,
