"Date","September-27-2024"
"Time","23h22m46s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","90grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,6.171629e-01,-4.843276e-01,-6.201103e-01,-1.906178e+01,-1.916209e+01,8.085814e-01,-1.279911e+02,9.998134e+01,-1.913075e+01,1.221589e-05,
2.999998e-02,6.169112e-01,-4.844356e-01,-6.202763e-01,-1.907056e+01,-1.916816e+01,8.084556e-01,-1.279898e+02,9.998943e+01,-1.913279e+01,1.221014e-05,
5.999997e-02,6.169787e-01,-4.845340e-01,-6.201323e-01,-1.907187e+01,-1.916290e+01,8.084894e-01,-1.280019e+02,9.998597e+01,-1.913329e+01,1.220876e-05,
8.999995e-02,6.172270e-01,-4.841478e-01,-6.201869e-01,-1.905517e+01,-1.916489e+01,8.086135e-01,-1.279773e+02,9.997691e+01,-1.913049e+01,1.221663e-05,
1.199999e-01,6.167945e-01,-4.845843e-01,-6.202763e-01,-1.907747e+01,-1.916816e+01,8.083972e-01,-1.279984e+02,9.998635e+01,-1.913780e+01,1.219607e-05,
1.499999e-01,6.169745e-01,-4.846147e-01,-6.200735e-01,-1.907428e+01,-1.916075e+01,8.084872e-01,-1.280092e+02,9.998402e+01,-1.913174e+01,1.221311e-05,
1.799999e-01,6.168394e-01,-4.845278e-01,-6.202757e-01,-1.907483e+01,-1.916813e+01,8.084197e-01,-1.279951e+02,1.000018e+02,-1.913289e+01,1.220988e-05,
2.099999e-01,6.169135e-01,-4.844748e-01,-6.202434e-01,-1.907163e+01,-1.916696e+01,8.084568e-01,-1.279935e+02,9.997751e+01,-1.913430e+01,1.220591e-05,
2.399999e-01,6.173354e-01,-4.841275e-01,-6.200948e-01,-1.905215e+01,-1.916153e+01,8.086677e-01,-1.279803e+02,9.997517e+01,-1.912921e+01,1.222021e-05,
2.699999e-01,6.170303e-01,-4.841655e-01,-6.203687e-01,-1.906012e+01,-1.917153e+01,8.085151e-01,-1.279702e+02,9.996186e+01,-1.913463e+01,1.220499e-05,
2.999998e-01,6.170749e-01,-4.843948e-01,-6.201453e-01,-1.906570e+01,-1.916337e+01,8.085375e-01,-1.279934e+02,9.997474e+01,-1.913452e+01,1.220528e-05,
3.299998e-01,6.173332e-01,-4.839663e-01,-6.202229e-01,-1.904756e+01,-1.916621e+01,8.086666e-01,-1.279653e+02,9.997370e+01,-1.913036e+01,1.221699e-05,
3.599998e-01,6.170971e-01,-4.842011e-01,-6.202745e-01,-1.905963e+01,-1.916809e+01,8.085486e-01,-1.279765e+02,9.996647e+01,-1.913548e+01,1.220258e-05,
3.899998e-01,6.174301e-01,-4.839232e-01,-6.201601e-01,-1.904414e+01,-1.916391e+01,8.087150e-01,-1.279656e+02,9.996418e+01,-1.913101e+01,1.221516e-05,
4.199998e-01,6.171570e-01,-4.840635e-01,-6.203223e-01,-1.905433e+01,-1.916984e+01,8.085785e-01,-1.279664e+02,9.996104e+01,-1.913405e+01,1.220661e-05,
