"Date","September-27-2024"
"Time","23h20m46s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","72grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,5.657102e-02,-2.351652e-01,-9.703077e-01,-3.823700e+01,-3.800142e+01,5.282855e-01,-1.036236e+02,9.993224e+01,-1.919078e+01,1.204819e-05,
2.999998e-02,5.583332e-02,-2.351574e-01,-9.703523e-01,-3.832180e+01,-3.800671e+01,5.279167e-01,-1.036226e+02,9.995705e+01,-1.919497e+01,1.203658e-05,
5.999997e-02,5.633961e-02,-2.359075e-01,-9.701410e-01,-3.828408e+01,-3.798170e+01,5.281698e-01,-1.036673e+02,9.995458e+01,-1.919228e+01,1.204404e-05,
8.999995e-02,5.653421e-02,-2.356557e-01,-9.701908e-01,-3.825480e+01,-3.798759e+01,5.282671e-01,-1.036525e+02,9.995006e+01,-1.919003e+01,1.205028e-05,
1.199999e-01,5.593555e-02,-2.357414e-01,-9.702047e-01,-3.832599e+01,-3.798923e+01,5.279678e-01,-1.036571e+02,9.997414e+01,-1.919185e+01,1.204522e-05,
1.499999e-01,5.643606e-02,-2.352242e-01,-9.703013e-01,-3.825418e+01,-3.800066e+01,5.282180e-01,-1.036270e+02,9.993088e+01,-1.918885e+01,1.205354e-05,
1.799999e-01,5.573124e-02,-2.352407e-01,-9.703380e-01,-3.833585e+01,-3.800501e+01,5.278656e-01,-1.036274e+02,9.996809e+01,-1.919135e+01,1.204662e-05,
2.099999e-01,5.618380e-02,-2.359633e-01,-9.701364e-01,-3.830351e+01,-3.798116e+01,5.280919e-01,-1.036704e+02,9.996414e+01,-1.919133e+01,1.204668e-05,
2.399999e-01,5.651918e-02,-2.353993e-01,-9.702540e-01,-3.824945e+01,-3.799506e+01,5.282596e-01,-1.036374e+02,9.994166e+01,-1.918746e+01,1.205741e-05,
2.699999e-01,5.609815e-02,-2.357076e-01,-9.702036e-01,-3.830636e+01,-3.798909e+01,5.280491e-01,-1.036553e+02,9.996301e+01,-1.918923e+01,1.205248e-05,
2.999998e-01,5.653226e-02,-2.354753e-01,-9.702347e-01,-3.825004e+01,-3.799278e+01,5.282661e-01,-1.036419e+02,9.993649e+01,-1.918837e+01,1.205488e-05,
3.299998e-01,5.595423e-02,-2.352796e-01,-9.703157e-01,-3.831121e+01,-3.800237e+01,5.279771e-01,-1.036299e+02,9.995813e+01,-1.918734e+01,1.205773e-05,
3.599998e-01,5.619829e-02,-2.360566e-01,-9.701129e-01,-3.830440e+01,-3.797838e+01,5.280991e-01,-1.036759e+02,9.996765e+01,-1.918699e+01,1.205871e-05,
3.899998e-01,5.604699e-02,-2.350961e-01,-9.703549e-01,-3.829548e+01,-3.800701e+01,5.280235e-01,-1.036191e+02,9.994801e+01,-1.918756e+01,1.205714e-05,
4.199998e-01,5.566925e-02,-2.355396e-01,-9.702690e-01,-3.835115e+01,-3.799684e+01,5.278346e-01,-1.036450e+02,9.997692e+01,-1.918816e+01,1.205548e-05,
4.499998e-01,5.647653e-02,-2.358749e-01,-9.701409e-01,-3.826746e+01,-3.798169e+01,5.282383e-01,-1.036654e+02,9.995046e+01,-1.918523e+01,1.206359e-05,
4.799997e-01,5.582533e-02,-2.351453e-01,-9.703557e-01,-3.832239e+01,-3.800711e+01,5.279127e-01,-1.036218e+02,9.995928e+01,-1.918713e+01,1.205833e-05,
5.099997e-01,5.564734e-02,-2.356706e-01,-9.702385e-01,-3.835723e+01,-3.799323e+01,5.278237e-01,-1.036527e+02,9.997256e+01,-1.918545e+01,1.206299e-05,
5.399997e-01,5.662347e-02,-2.358245e-01,-9.701446e-01,-3.824920e+01,-3.798213e+01,5.283117e-01,-1.036626e+02,9.994690e+01,-1.918306e+01,1.206963e-05,
5.699997e-01,5.584198e-02,-2.353578e-01,-9.703032e-01,-3.832629e+01,-3.800089e+01,5.279210e-01,-1.036344e+02,9.996412e+01,-1.918718e+01,1.205818e-05,
5.999997e-01,5.613603e-02,-2.356352e-01,-9.702189e-01,-3.830002e+01,-3.799091e+01,5.280680e-01,-1.036510e+02,9.995399e+01,-1.918399e+01,1.206704e-05,
6.299997e-01,5.632205e-02,-2.353173e-01,-9.702853e-01,-3.826987e+01,-3.799877e+01,5.281610e-01,-1.036324e+02,9.994865e+01,-1.918288e+01,1.207012e-05,
6.599996e-01,5.568909e-02,-2.358469e-01,-9.701933e-01,-3.835722e+01,-3.798788e+01,5.278445e-01,-1.036632e+02,9.997384e+01,-1.918715e+01,1.205827e-05,
6.899996e-01,5.639925e-02,-2.354502e-01,-9.702486e-01,-3.826465e+01,-3.799442e+01,5.281996e-01,-1.036403e+02,9.993916e+01,-1.918081e+01,1.207587e-05,
7.199996e-01,5.627554e-02,-2.358342e-01,-9.701625e-01,-3.828944e+01,-3.798424e+01,5.281378e-01,-1.036629e+02,9.996974e+01,-1.918203e+01,1.207249e-05,
7.499996e-01,5.612104e-02,-2.358418e-01,-9.701696e-01,-3.830740e+01,-3.798508e+01,5.280605e-01,-1.036632e+02,9.995882e+01,-1.918567e+01,1.206239e-05,
7.799996e-01,5.608933e-02,-2.348418e-01,-9.704140e-01,-3.828360e+01,-3.801402e+01,5.280447e-01,-1.036041e+02,9.993983e+01,-1.918114e+01,1.207498e-05,
8.099996e-01,5.579386e-02,-2.361596e-01,-9.701112e-01,-3.835366e+01,-3.797818e+01,5.278969e-01,-1.036817e+02,9.998285e+01,-1.918476e+01,1.206492e-05,
8.399996e-01,5.623617e-02,-2.352304e-01,-9.703114e-01,-3.827737e+01,-3.800185e+01,5.281181e-01,-1.036272e+02,9.993896e+01,-1.918227e+01,1.207182e-05,
8.699995e-01,5.619112e-02,-2.356699e-01,-9.702073e-01,-3.829464e+01,-3.798954e+01,5.280956e-01,-1.036531e+02,9.996053e+01,-1.917923e+01,1.208029e-05,
8.999995e-01,5.650779e-02,-2.361250e-01,-9.700783e-01,-3.827074e+01,-3.797430e+01,5.282539e-01,-1.036802e+02,9.995449e+01,-1.918128e+01,1.207457e-05,
9.299995e-01,5.610448e-02,-2.350834e-01,-9.703546e-01,-3.828850e+01,-3.800698e+01,5.280522e-01,-1.036184e+02,9.994263e+01,-1.918295e+01,1.206994e-05,
9.599995e-01,5.580286e-02,-2.360921e-01,-9.701271e-01,-3.835080e+01,-3.798006e+01,5.279014e-01,-1.036777e+02,9.998139e+01,-1.918246e+01,1.207129e-05,
9.899995e-01,5.567228e-02,-2.349487e-01,-9.704121e-01,-3.833467e+01,-3.801380e+01,5.278361e-01,-1.036101e+02,9.995948e+01,-1.918467e+01,1.206517e-05,
1.019999e+00,5.603108e-02,-2.359236e-01,-9.701549e-01,-3.831998e+01,-3.798335e+01,5.280155e-01,-1.036680e+02,9.996617e+01,-1.918161e+01,1.207367e-05,
1.049999e+00,5.663682e-02,-2.356663e-01,-9.701823e-01,-3.824329e+01,-3.798658e+01,5.283184e-01,-1.036532e+02,9.993391e+01,-1.917933e+01,1.207999e-05,
1.079999e+00,5.565220e-02,-2.355175e-01,-9.702754e-01,-3.835251e+01,-3.799759e+01,5.278261e-01,-1.036437e+02,9.997766e+01,-1.918322e+01,1.206918e-05,
1.109999e+00,5.607934e-02,-2.358787e-01,-9.701631e-01,-3.831321e+01,-3.798431e+01,5.280397e-01,-1.036653e+02,9.996510e+01,-1.918413e+01,1.206665e-05,
1.139999e+00,5.656945e-02,-2.356882e-01,-9.701809e-01,-3.825164e+01,-3.798642e+01,5.282847e-01,-1.036545e+02,9.994832e+01,-1.918008e+01,1.207792e-05,
1.169999e+00,5.596094e-02,-2.357302e-01,-9.702060e-01,-3.832277e+01,-3.798938e+01,5.279805e-01,-1.036565e+02,9.996602e+01,-1.918096e+01,1.207546e-05,
1.199999e+00,5.661824e-02,-2.356183e-01,-9.701950e-01,-3.824410e+01,-3.798809e+01,5.283091e-01,-1.036504e+02,9.993887e+01,-1.917968e+01,1.207904e-05,
