"Date","September-27-2024"
"Time","23h26m53s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","138grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,3.062508e-01,4.476929e-01,8.401081e-01,2.781268e+01,2.857577e+01,6.531254e-01,6.194688e+01,9.980161e+01,-1.921486e+01,1.198157e-05,
2.999998e-02,3.058745e-01,4.502086e-01,8.388999e-01,2.790379e+01,2.851207e+01,6.529372e-01,6.177908e+01,1.001145e+02,-1.925435e+01,1.187312e-05,
5.999997e-02,3.056542e-01,4.489242e-01,8.396682e-01,2.787532e+01,2.855255e+01,6.528271e-01,6.186905e+01,9.991650e+01,-1.921119e+01,1.199170e-05,
8.999995e-02,2.987839e-01,4.529570e-01,8.399751e-01,2.829498e+01,2.856874e+01,6.493920e-01,6.166421e+01,1.001987e+02,-1.924150e+01,1.190832e-05,
1.199999e-01,3.067215e-01,4.476930e-01,8.399363e-01,2.779217e+01,2.856669e+01,6.533607e-01,6.194201e+01,9.987849e+01,-1.922564e+01,1.195187e-05,
1.499999e-01,3.066247e-01,4.505435e-01,8.384461e-01,2.788106e+01,2.848820e+01,6.533123e-01,6.174840e+01,1.001854e+02,-1.922393e+01,1.195659e-05,
1.799999e-01,3.042239e-01,4.477735e-01,8.408013e-01,2.790362e+01,2.861241e+01,6.521120e-01,6.196221e+01,9.977932e+01,-1.923890e+01,1.191545e-05,
2.099999e-01,3.073969e-01,4.439505e-01,8.416740e-01,2.765039e+01,2.865866e+01,6.536984e-01,6.219009e+01,9.958517e+01,-1.924142e+01,1.190853e-05,
2.399999e-01,3.078419e-01,4.490681e-01,8.387915e-01,2.778444e+01,2.850636e+01,6.539209e-01,6.183651e+01,1.000734e+02,-1.917049e+01,1.210461e-05,
2.699999e-01,3.039127e-01,4.495752e-01,8.399519e-01,2.797066e+01,2.856752e+01,6.519563e-01,6.184256e+01,9.995515e+01,-1.925270e+01,1.187764e-05,
