"Date","September-27-2024"
"Time","23h13m46s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","30grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,8.623924e-01,3.484558e-01,-3.672299e-01,1.100076e+01,-1.077244e+01,9.311962e-01,-4.650265e+01,1.000628e+02,-1.927405e+01,1.181938e-05,
2.999998e-02,8.622426e-01,3.489363e-01,-3.671255e-01,1.101621e+01,-1.076922e+01,9.311213e-01,-4.645510e+01,1.000847e+02,-1.926696e+01,1.183871e-05,
5.999997e-02,8.623650e-01,3.485335e-01,-3.672207e-01,1.100330e+01,-1.077216e+01,9.311825e-01,-4.649556e+01,1.000691e+02,-1.926378e+01,1.184738e-05,
8.999995e-02,8.624976e-01,3.482623e-01,-3.671666e-01,1.099402e+01,-1.077049e+01,9.312488e-01,-4.651362e+01,1.000674e+02,-1.926433e+01,1.184586e-05,
1.199999e-01,8.624769e-01,3.480973e-01,-3.673717e-01,1.098955e+01,-1.077681e+01,9.312384e-01,-4.654315e+01,1.000666e+02,-1.926137e+01,1.185394e-05,
1.499999e-01,8.625894e-01,3.479262e-01,-3.672694e-01,1.098337e+01,-1.077366e+01,9.312947e-01,-4.654924e+01,1.000608e+02,-1.926411e+01,1.184647e-05,
1.799999e-01,8.624580e-01,3.482601e-01,-3.672616e-01,1.099442e+01,-1.077342e+01,9.312290e-01,-4.652120e+01,1.000685e+02,-1.926999e+01,1.183044e-05,
2.099999e-01,8.625274e-01,3.479763e-01,-3.673678e-01,1.098551e+01,-1.077669e+01,9.312637e-01,-4.655279e+01,1.000613e+02,-1.926655e+01,1.183981e-05,
2.399999e-01,8.625245e-01,3.480859e-01,-3.672706e-01,1.098867e+01,-1.077369e+01,9.312623e-01,-4.653621e+01,1.000726e+02,-1.926588e+01,1.184165e-05,
2.699999e-01,8.624419e-01,3.483493e-01,-3.672149e-01,1.099715e+01,-1.077198e+01,9.312209e-01,-4.651024e+01,1.000612e+02,-1.926843e+01,1.183470e-05,
2.999998e-01,8.626131e-01,3.480133e-01,-3.671313e-01,1.098558e+01,-1.076940e+01,9.313066e-01,-4.653132e+01,1.000597e+02,-1.926415e+01,1.184637e-05,
3.299998e-01,8.625736e-01,3.479342e-01,-3.672989e-01,1.098378e+01,-1.077456e+01,9.312868e-01,-4.655088e+01,1.000619e+02,-1.926434e+01,1.184585e-05,
3.599998e-01,8.627090e-01,3.475773e-01,-3.673189e-01,1.097202e+01,-1.077518e+01,9.313545e-01,-4.658180e+01,1.000502e+02,-1.926662e+01,1.183962e-05,
3.899998e-01,8.626143e-01,3.479310e-01,-3.672064e-01,1.098322e+01,-1.077172e+01,9.313072e-01,-4.654394e+01,1.000609e+02,-1.926515e+01,1.184364e-05,
4.199998e-01,8.624971e-01,3.481537e-01,-3.672706e-01,1.099093e+01,-1.077369e+01,9.312486e-01,-4.653063e+01,1.000622e+02,-1.926437e+01,1.184576e-05,
4.499998e-01,8.626559e-01,3.477529e-01,-3.672774e-01,1.097765e+01,-1.077390e+01,9.313279e-01,-4.656412e+01,1.000495e+02,-1.927043e+01,1.182924e-05,
4.799997e-01,8.625542e-01,3.481655e-01,-3.671253e-01,1.099061e+01,-1.076922e+01,9.312771e-01,-4.651835e+01,1.000658e+02,-1.926398e+01,1.184682e-05,
5.099997e-01,8.626703e-01,3.475075e-01,-3.674760e-01,1.097047e+01,-1.078002e+01,9.313351e-01,-4.659978e+01,1.000499e+02,-1.926499e+01,1.184406e-05,
5.399997e-01,8.627844e-01,3.474721e-01,-3.672413e-01,1.096815e+01,-1.077279e+01,9.313922e-01,-4.658442e+01,1.000527e+02,-1.926846e+01,1.183461e-05,
5.699997e-01,8.625767e-01,3.481287e-01,-3.671073e-01,1.098929e+01,-1.076866e+01,9.312884e-01,-4.651997e+01,1.000625e+02,-1.926676e+01,1.183925e-05,
5.999997e-01,8.626611e-01,3.477106e-01,-3.673053e-01,1.097638e+01,-1.077476e+01,9.313305e-01,-4.656978e+01,1.000489e+02,-1.926292e+01,1.184972e-05,
6.299997e-01,8.626702e-01,3.477587e-01,-3.672384e-01,1.097765e+01,-1.077270e+01,9.313351e-01,-4.656061e+01,1.000548e+02,-1.927203e+01,1.182488e-05,
6.599996e-01,8.624941e-01,3.481164e-01,-3.673132e-01,1.098989e+01,-1.077501e+01,9.312470e-01,-4.653703e+01,1.000659e+02,-1.926270e+01,1.185033e-05,
6.899996e-01,8.625457e-01,3.479306e-01,-3.673680e-01,1.098399e+01,-1.077669e+01,9.312728e-01,-4.655656e+01,1.000566e+02,-1.926640e+01,1.184022e-05,
7.199996e-01,8.623870e-01,3.485524e-01,-3.671510e-01,1.100358e+01,-1.077001e+01,9.311935e-01,-4.648858e+01,1.000747e+02,-1.927032e+01,1.182955e-05,
7.499996e-01,8.624219e-01,3.483606e-01,-3.672511e-01,1.099770e+01,-1.077309e+01,9.312109e-01,-4.651213e+01,1.000650e+02,-1.926593e+01,1.184151e-05,
7.799996e-01,8.624034e-01,3.482204e-01,-3.674275e-01,1.099391e+01,-1.077852e+01,9.312017e-01,-4.653738e+01,1.000751e+02,-1.926710e+01,1.183830e-05,
8.099996e-01,8.623170e-01,3.486617e-01,-3.672116e-01,1.100751e+01,-1.077188e+01,9.311585e-01,-4.648433e+01,1.000737e+02,-1.926952e+01,1.183173e-05,
8.399996e-01,8.623741e-01,3.485601e-01,-3.671741e-01,1.100395e+01,-1.077072e+01,9.311870e-01,-4.648974e+01,1.000768e+02,-1.926194e+01,1.185240e-05,
8.699995e-01,8.623831e-01,3.483409e-01,-3.673610e-01,1.099759e+01,-1.077648e+01,9.311915e-01,-4.652230e+01,1.000677e+02,-1.926738e+01,1.183757e-05,
8.999995e-01,8.624352e-01,3.482318e-01,-3.673419e-01,1.099387e+01,-1.077589e+01,9.312176e-01,-4.652978e+01,1.000599e+02,-1.926804e+01,1.183575e-05,
9.299995e-01,8.624237e-01,3.484568e-01,-3.671555e-01,1.100043e+01,-1.077015e+01,9.312119e-01,-4.649678e+01,1.000782e+02,-1.926294e+01,1.184968e-05,
9.599995e-01,8.625120e-01,3.480457e-01,-3.673381e-01,1.098767e+01,-1.077577e+01,9.312560e-01,-4.654478e+01,1.000598e+02,-1.926741e+01,1.183748e-05,
9.899995e-01,8.624790e-01,3.483542e-01,-3.671230e-01,1.099686e+01,-1.076915e+01,9.312395e-01,-4.650266e+01,1.000702e+02,-1.926938e+01,1.183210e-05,
1.019999e+00,8.624160e-01,3.482855e-01,-3.673361e-01,1.099563e+01,-1.077571e+01,9.312080e-01,-4.652491e+01,1.000645e+02,-1.926465e+01,1.184499e-05,
1.049999e+00,8.625847e-01,3.478844e-01,-3.673201e-01,1.098222e+01,-1.077522e+01,9.312924e-01,-4.655663e+01,1.000590e+02,-1.926501e+01,1.184401e-05,
1.079999e+00,8.624087e-01,3.484009e-01,-3.672439e-01,1.099901e+01,-1.077287e+01,9.312043e-01,-4.650826e+01,1.000675e+02,-1.926952e+01,1.183172e-05,
1.109999e+00,8.625515e-01,3.480262e-01,-3.672637e-01,1.098666e+01,-1.077348e+01,9.312758e-01,-4.654058e+01,1.000554e+02,-1.926753e+01,1.183714e-05,
1.139999e+00,8.626362e-01,3.477067e-01,-3.673675e-01,1.097656e+01,-1.077668e+01,9.313181e-01,-4.657494e+01,1.000585e+02,-1.926815e+01,1.183546e-05,
1.169999e+00,8.625996e-01,3.478931e-01,-3.672768e-01,1.098230e+01,-1.077388e+01,9.312998e-01,-4.655255e+01,1.000509e+02,-1.926928e+01,1.183237e-05,
1.199999e+00,8.627159e-01,3.476590e-01,-3.672254e-01,1.097427e+01,-1.077230e+01,9.313580e-01,-4.656779e+01,1.000473e+02,-1.926523e+01,1.184342e-05,
1.229999e+00,8.625826e-01,3.479244e-01,-3.672872e-01,1.098339e+01,-1.077421e+01,9.312913e-01,-4.655078e+01,1.000578e+02,-1.926771e+01,1.183665e-05,
1.259999e+00,8.625387e-01,3.479720e-01,-3.673453e-01,1.098526e+01,-1.077599e+01,9.312693e-01,-4.655139e+01,1.000526e+02,-1.926954e+01,1.183167e-05,
1.289999e+00,8.627692e-01,3.474727e-01,-3.672764e-01,1.096834e+01,-1.077387e+01,9.313846e-01,-4.658710e+01,1.000563e+02,-1.926286e+01,1.184987e-05,
1.319999e+00,8.625763e-01,3.479016e-01,-3.673237e-01,1.098281e+01,-1.077533e+01,9.312881e-01,-4.655550e+01,1.000576e+02,-1.926832e+01,1.183500e-05,
1.349999e+00,8.626782e-01,3.478265e-01,-3.671554e-01,1.097949e+01,-1.077015e+01,9.313391e-01,-4.654857e+01,1.000461e+02,-1.927006e+01,1.183025e-05,
1.379999e+00,8.626999e-01,3.476652e-01,-3.672571e-01,1.097464e+01,-1.077328e+01,9.313500e-01,-4.656975e+01,1.000556e+02,-1.926586e+01,1.184170e-05,
1.409999e+00,8.625685e-01,3.477849e-01,-3.674523e-01,1.097957e+01,-1.077929e+01,9.312843e-01,-4.657511e+01,1.000573e+02,-1.926798e+01,1.183591e-05,
