"Date","September-27-2024"
"Time","23h29m46s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","162grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,1.032130e-01,-2.417560e-01,9.648322e-01,-3.344044e+01,3.737989e+01,5.516065e-01,1.040669e+02,1.000997e+02,-1.927708e+01,1.181115e-05,
2.999998e-02,1.030531e-01,-2.423299e-01,9.647053e-01,-3.348095e+01,3.736607e+01,5.515266e-01,1.041007e+02,1.001247e+02,-1.927709e+01,1.181111e-05,
5.999997e-02,1.038035e-01,-2.416904e-01,9.647853e-01,-3.337849e+01,3.737477e+01,5.519018e-01,1.040639e+02,1.000817e+02,-1.927481e+01,1.181731e-05,
8.999995e-02,1.033447e-01,-2.417629e-01,9.648164e-01,-3.342754e+01,3.737816e+01,5.516723e-01,1.040675e+02,1.000988e+02,-1.927740e+01,1.181028e-05,
1.199999e-01,1.037828e-01,-2.423036e-01,9.646336e-01,-3.340686e+01,3.735828e+01,5.518914e-01,1.041002e+02,1.000919e+02,-1.927577e+01,1.181472e-05,
1.499999e-01,1.035174e-01,-2.415093e-01,9.648613e-01,-3.339936e+01,3.738306e+01,5.517587e-01,1.040527e+02,1.000892e+02,-1.927796e+01,1.180875e-05,
1.799999e-01,1.030372e-01,-2.420760e-01,9.647707e-01,-3.347173e+01,3.737319e+01,5.515186e-01,1.040856e+02,1.001177e+02,-1.928059e+01,1.180160e-05,
2.099999e-01,1.040150e-01,-2.425563e-01,9.645451e-01,-3.339449e+01,3.734867e+01,5.520075e-01,1.041156e+02,1.000914e+02,-1.927854e+01,1.180717e-05,
2.399999e-01,1.034863e-01,-2.418380e-01,9.647824e-01,-3.341658e+01,3.737446e+01,5.517431e-01,1.040721e+02,1.000914e+02,-1.928037e+01,1.180221e-05,
2.699999e-01,1.034643e-01,-2.420300e-01,9.647366e-01,-3.342700e+01,3.736947e+01,5.517321e-01,1.040835e+02,1.001005e+02,-1.928102e+01,1.180043e-05,
