"Date","September-27-2024"
"Time","23h19m58s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","60grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,1.283667e-02,1.368708e-01,-9.905057e-01,4.232104e+01,-4.104922e+01,5.064183e-01,-8.213253e+01,1.001559e+02,-1.933246e+01,1.166148e-05,
2.999998e-02,1.466609e-02,1.372733e-01,-9.904246e-01,4.195087e+01,-4.103236e+01,5.073330e-01,-8.210905e+01,1.000420e+02,-1.932430e+01,1.168342e-05,
5.999997e-02,1.576342e-02,1.364693e-01,-9.905189e-01,4.170551e+01,-4.105196e+01,5.078817e-01,-8.215543e+01,9.996593e+01,-1.932429e+01,1.168344e-05,
8.999995e-02,1.385129e-02,1.348709e-01,-9.907664e-01,4.206813e+01,-4.110391e+01,5.069256e-01,-8.224810e+01,1.000131e+02,-1.933089e+01,1.166572e-05,
1.199999e-01,1.420624e-02,1.347252e-01,-9.907812e-01,4.199031e+01,-4.110704e+01,5.071031e-01,-8.225649e+01,1.000114e+02,-1.932637e+01,1.167786e-05,
1.499999e-01,1.278482e-02,1.369867e-01,-9.904904e-01,4.233405e+01,-4.104602e+01,5.063924e-01,-8.212584e+01,1.001071e+02,-1.933209e+01,1.166248e-05,
1.799999e-01,1.316899e-02,1.369001e-01,-9.904973e-01,4.225269e+01,-4.104747e+01,5.065845e-01,-8.213081e+01,1.000586e+02,-1.933133e+01,1.166451e-05,
2.099999e-01,1.523711e-02,1.374003e-01,-9.903984e-01,4.183600e+01,-4.102692e+01,5.076186e-01,-8.210163e+01,1.000092e+02,-1.932390e+01,1.168449e-05,
2.399999e-01,1.296741e-02,1.366612e-01,-9.905330e-01,4.228979e+01,-4.105490e+01,5.064837e-01,-8.214464e+01,1.001024e+02,-1.933100e+01,1.166541e-05,
2.699999e-01,1.401440e-02,1.378076e-01,-9.903599e-01,4.209662e+01,-4.101894e+01,5.070072e-01,-8.207822e+01,1.000431e+02,-1.933029e+01,1.166731e-05,
